A,b,0,0.75
B,b,0,0.25
C,n,0,0.75
B,b,0,0.25
A,b,0,0.5
F,n,-1,0.5
F,n,-1,0.5
E,b,-1,0.5

B,b,0,0.75
A,b,0,0.25
G,n,-1,0.5
A,b,0,0.5
B,b,0,2.0

A,b,0,0.75
B,b,0,0.25
C,n,0,0.75
B,b,0,0.25
A,b,0,0.5
F,n,-1,0.5
F,n,-1,0.5
E,b,-1,0.5

B,b,0,0.75
C,n,0,0.25
D,b,0,0.5
G,n,-1,0.5
A,b,0,2.0
